source_url,high,medium,low,non_critical,gas
https://code4rena.com/reports/2022-04-abranft,30,6,0,0,0
https://code4rena.com/reports/2022-04-axelar,6,24,0,0,0
https://code4rena.com/reports/2022-04-backd,18,90,0,0,0
https://code4rena.com/reports/2022-04-backed,18,42,0,0,138
https://code4rena.com/reports/2022-04-badger-citadel,18,30,0,0,0
https://code4rena.com/reports/2022-04-dualityfocus,0,30,0,0,0
https://code4rena.com/reports/2022-04-jpegd,54,66,0,0,0
https://code4rena.com/reports/2022-04-mimo,12,30,0,0,0
https://code4rena.com/reports/2022-04-phuture,12,48,0,0,0
https://code4rena.com/reports/2022-04-pooltogether,6,30,0,0,0
https://code4rena.com/reports/2022-04-xtribe,0,42,0,0,0
https://code4rena.com/reports/2022-05-alchemix,0,102,0,0,0
https://code4rena.com/reports/2022-05-aura,6,132,0,0,0
https://code4rena.com/reports/2022-05-backd,12,108,0,0,0
https://code4rena.com/reports/2022-05-bunker,0,24,0,0,0
https://code4rena.com/reports/2022-05-cally,18,60,0,0,0
https://code4rena.com/reports/2022-05-cudos,0,36,0,0,0
https://code4rena.com/reports/2022-05-factorydao,18,126,0,0,0
https://code4rena.com/reports/2022-05-opensea-seaport,12,12,0,0,0
https://code4rena.com/reports/2022-05-rubicon,60,204,0,0,0
https://code4rena.com/reports/2022-05-runes,0,36,0,0,0
https://code4rena.com/reports/2022-05-sturdy,12,36,0,0,0
https://code4rena.com/reports/2022-05-velodrome,36,102,0,0,0
https://code4rena.com/reports/2022-05-vetoken,6,180,0,0,0
https://code4rena.com/reports/2022-06-badger,12,18,0,0,0
https://code4rena.com/reports/2022-06-canto,84,72,0,0,0
https://code4rena.com/reports/2022-06-canto-v2,48,36,0,0,0
https://code4rena.com/reports/2022-06-connext,36,120,0,0,0
https://code4rena.com/reports/2022-06-illuminate,96,78,0,0,0
https://code4rena.com/reports/2022-06-infinity,66,54,0,0,0
https://code4rena.com/reports/2022-06-nested,0,6,0,0,0
https://code4rena.com/reports/2022-06-nibbl,0,72,0,0,0
https://code4rena.com/reports/2022-06-notional-coop,6,60,0,0,0
https://code4rena.com/reports/2022-06-putty,24,96,0,0,0
https://code4rena.com/reports/2022-06-yieldy,24,162,0,0,0
https://code4rena.com/reports/2022-07-axelar,0,36,0,0,0
https://code4rena.com/reports/2022-07-canto,18,6,0,0,0
https://code4rena.com/reports/2022-07-ens,18,78,0,0,0
https://code4rena.com/reports/2022-07-fractional,120,72,0,0,0
https://code4rena.com/reports/2022-07-golom,66,108,0,0,0
https://code4rena.com/reports/2022-07-juicebox,12,96,6,6,0
https://code4rena.com/reports/2022-07-swivel,6,72,0,0,0
https://code4rena.com/reports/2022-07-yield,12,0,0,0,0
https://code4rena.com/reports/2022-08-fiatdao,12,48,0,0,0
https://code4rena.com/reports/2022-08-foundation,0,48,0,0,0
https://code4rena.com/reports/2022-08-frax,12,78,0,0,0
https://code4rena.com/reports/2022-08-mimo,24,48,0,0,0
https://code4rena.com/reports/2022-08-nounsdao,6,18,0,0,0
https://code4rena.com/reports/2022-08-olympus,18,192,0,0,0
https://code4rena.com/reports/2022-08-prepo,0,24,0,0,0
https://code4rena.com/reports/2022-08-rigor,36,120,0,0,0
https://code4rena.com/reports/2022-09-artgobblers,6,18,0,0,0
https://code4rena.com/reports/2022-09-canto,6,36,0,0,0
https://code4rena.com/reports/2022-09-frax,12,60,0,0,0
https://code4rena.com/reports/2022-09-nouns-builder,30,168,0,0,0
https://code4rena.com/reports/2022-09-party,42,72,0,0,0
https://code4rena.com/reports/2022-09-quickswap,6,72,0,0,0
https://code4rena.com/reports/2022-09-tribe,0,12,0,0,0
https://code4rena.com/reports/2022-09-vtvl,12,60,0,0,0
https://code4rena.com/reports/2022-09-y2k-finance,54,96,0,0,0
https://code4rena.com/reports/2022-10-blur,6,6,0,0,0
https://code4rena.com/reports/2022-10-holograph,48,114,0,0,0
https://code4rena.com/reports/2022-10-inverse,0,108,0,0,0
https://code4rena.com/reports/2022-10-juicebox,30,48,0,0,0
https://code4rena.com/reports/2022-10-paladin,0,48,0,0,0
https://code4rena.com/reports/2022-10-thegraph,0,24,0,0,0
https://code4rena.com/reports/2022-10-traderjoe,30,42,0,0,0
https://code4rena.com/reports/2022-10-zksync,0,12,0,0,0
https://code4rena.com/reports/2022-11-canto,12,18,0,0,0
https://code4rena.com/reports/2022-11-debtdao,36,66,0,0,0
https://code4rena.com/reports/2022-11-ens,12,18,0,0,0
https://code4rena.com/reports/2022-11-foundation,0,18,0,0,6
https://code4rena.com/reports/2022-11-looksrare,0,36,0,0,0
https://code4rena.com/reports/2022-11-non-fungible,6,12,0,0,0
https://code4rena.com/reports/2022-11-paraspace,60,144,0,0,0
https://code4rena.com/reports/2022-11-redactedcartel,36,72,0,0,0
https://code4rena.com/reports/2022-11-size,12,42,0,0,0
https://code4rena.com/reports/2022-11-stakehouse,126,186,0,0,0
https://code4rena.com/reports/2022-12-backed,24,48,0,0,0
https://code4rena.com/reports/2022-12-caviar,18,30,0,0,0
https://code4rena.com/reports/2022-12-escher,18,78,0,0,0
https://code4rena.com/reports/2022-12-forgeries,12,18,0,0,0
https://code4rena.com/reports/2022-12-forgotten-runiverse,0,42,0,0,0
https://code4rena.com/reports/2022-12-gogopool,36,132,0,0,0
https://code4rena.com/reports/2022-12-pooltogether,0,18,0,0,0
https://code4rena.com/reports/2022-12-prepo,12,42,0,0,0
https://code4rena.com/reports/2022-12-stealth-project,0,48,0,0,0
https://code4rena.com/reports/2022-12-tessera,54,54,0,0,0
https://code4rena.com/reports/2022-12-tigris,66,144,0,0,0
https://code4rena.com/reports/2023-01-astaria,126,204,0,0,0
https://code4rena.com/reports/2023-01-biconomy,42,48,0,0,0
https://code4rena.com/reports/2023-01-blockswap-fv,0,36,0,0,0
https://code4rena.com/reports/2023-01-canto-identity,6,24,0,0,0
https://code4rena.com/reports/2023-01-drips,6,12,0,0,0
https://code4rena.com/reports/2023-01-numoen,6,36,0,0,0
https://code4rena.com/reports/2023-01-ondo,6,30,0,0,0
https://code4rena.com/reports/2023-01-opensea,0,6,0,0,0
https://code4rena.com/reports/2023-01-popcorn,72,210,0,0,0
https://code4rena.com/reports/2023-01-rabbithole,12,54,0,0,0
https://code4rena.com/reports/2023-01-reserve,12,150,0,0,0
https://code4rena.com/reports/2023-01-timeswap,18,42,0,0,0
https://code4rena.com/reports/2023-02-ethos,18,84,0,0,0
https://code4rena.com/reports/2023-02-kuma,6,24,0,0,0
https://code4rena.com/reports/2023-02-malt,36,96,0,0,0
https://code4rena.com/reports/2023-03-aragon,0,24,0,0,0
https://code4rena.com/reports/2023-03-asymmetry,48,72,0,0,0
https://code4rena.com/reports/2023-03-canto-identity,6,54,0,0,0
https://code4rena.com/reports/2023-03-mute,18,54,0,0,0
https://code4rena.com/reports/2023-03-neotokyo,12,0,0,0,0
https://code4rena.com/reports/2023-03-polynomial,84,114,0,0,0
https://code4rena.com/reports/2023-03-wenwin,6,42,0,0,0
https://code4rena.com/reports/2023-03-zksync,6,30,0,0,0
https://code4rena.com/reports/2023-04-caviar,18,102,0,0,0
https://code4rena.com/reports/2023-04-eigenlayer,12,12,0,0,0
https://code4rena.com/reports/2023-04-ens,0,42,0,0,0
https://code4rena.com/reports/2023-04-frankencoin,36,90,0,0,0
https://code4rena.com/reports/2023-04-party,48,72,0,0,0
https://code4rena.com/reports/2023-04-rubicon,102,168,0,0,0
https://code4rena.com/reports/2023-05-ajna,66,84,0,0,0
https://code4rena.com/reports/2023-05-ambire,0,30,0,0,0
https://code4rena.com/reports/2023-05-base,0,0,0,0,0
https://code4rena.com/reports/2023-05-juicebox,0,18,0,0,0
https://code4rena.com/reports/2023-05-maia,210,264,0,0,0
https://code4rena.com/reports/2023-05-particle,36,24,0,0,0
https://code4rena.com/reports/2023-05-party,6,42,0,0,0
https://code4rena.com/reports/2023-05-venus,6,96,0,0,0
https://code4rena.com/reports/2023-05-xeth,0,60,0,0,0
https://code4rena.com/reports/2023-06-angle,18,42,0,0,0
https://code4rena.com/reports/2023-06-canto,6,6,0,0,0
https://code4rena.com/reports/2023-06-llama,12,18,0,0,0
https://code4rena.com/reports/2023-06-lukso,0,48,0,0,0
https://code4rena.com/reports/2023-06-lybra,48,138,0,0,0
https://code4rena.com/reports/2023-06-reserve,12,72,0,0,0
https://code4rena.com/reports/2023-06-stader,6,84,0,0,0
https://code4rena.com/reports/2023-07-amphora,18,18,0,0,0
https://code4rena.com/reports/2023-07-arcade,0,48,0,0,0
https://code4rena.com/reports/2023-07-axelar,12,54,0,0,0
https://code4rena.com/reports/2023-07-basin,6,78,0,0,0
https://code4rena.com/reports/2023-07-lens,0,66,0,0,0
https://code4rena.com/reports/2023-07-moonwell,0,102,0,0,0
https://code4rena.com/reports/2023-07-nounsdao,6,18,0,0,0
https://code4rena.com/reports/2023-07-pooltogether,54,162,0,0,0
https://code4rena.com/reports/2023-07-reserve,18,90,0,0,0
https://code4rena.com/reports/2023-07-tapioca,360,594,0,0,0
https://code4rena.com/reports/2023-08-arbitrum,6,30,0,0,0
https://code4rena.com/reports/2023-08-dopex,54,102,0,0,0
https://code4rena.com/reports/2023-08-gmx-fv,0,0,0,0,0
https://code4rena.com/reports/2023-08-goodentry,36,48,0,0,0
https://code4rena.com/reports/2023-08-livepeer,12,18,0,0,0
https://code4rena.com/reports/2023-08-pooltogether,12,66,0,0,0
https://code4rena.com/reports/2023-08-shell,6,0,0,0,0
https://code4rena.com/reports/2023-08-verwa,48,18,0,0,0
https://code4rena.com/reports/2023-09-asymmetry,30,60,0,0,0
https://code4rena.com/reports/2023-09-centrifuge,0,48,0,0,0
https://code4rena.com/reports/2023-09-delegate,0,12,0,0,0
https://code4rena.com/reports/2023-09-maia,18,72,0,0,0
https://code4rena.com/reports/2023-09-ondo,0,24,0,0,0
https://code4rena.com/reports/2023-09-venus,18,18,0,0,0
https://code4rena.com/reports/2023-10-badger,6,36,0,0,0
